name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
prenylamine,181757,6.594405,2.077713,181757,prenylamine,True,3.0,3.0,0.0,True,3 rings
molidustat,59603622,5.194556,9.036911,59603622,molidustat,True,4.0,3.0,1.0,True,4+ rings
acetarsol,1985,8.711702,3.238877,1985,acetarsol,True,1.0,1.0,0.0,True,1 ring
propiolactone,2365,-1.6449405,5.986246,2365,propiolactone,True,1.0,0.0,1.0,True,1 ring
sb-271046,5312149,9.011801,3.2139032,5312149,sb-271046,True,4.0,3.0,1.0,True,4+ rings
carbamazepine,2554,6.828291,3.6294725,2554,carbamazepine,True,3.0,2.0,1.0,True,3 rings
phenformin,8249,6.587135,2.1021757,8249,phenformin,True,1.0,1.0,0.0,True,1 ring
benzo[d]thiazole-2(3h)-thione,697993,6.263607,3.4286664,697993,benzo[d]thiazole-2(3h)-thione,True,2.0,2.0,0.0,True,2 rings
phortress,399465,6.6131682,6.780872,399465,phortress,True,3.0,3.0,0.0,True,3 rings
lactulose,11333,-1.6213975,5.471867,11333,lactulose,True,2.0,0.0,2.0,True,2 rings
edrophonium,3202,8.707831,3.192307,3202,edrophonium,True,1.0,1.0,0.0,True,1 ring
"1-(1,2-diphenylethyl)piperidine-(+/-)",44574903,6.590919,2.1456938,44574903,"1-(1,2-diphenylethyl)piperidine-(+/-)",True,3.0,2.0,1.0,True,3 rings
seclazone,76966156,9.721095,2.813195,76966156,seclazone,True,3.0,1.0,2.0,True,3 rings
budesonide,63006,-3.7594297,5.099963,63006,budesonide,True,5.0,0.0,5.0,True,4+ rings
necrostatin-2,11288934,6.5833015,6.2735453,11288934,necrostatin-2,True,3.0,2.0,1.0,True,3 rings
piconol,11474,6.9705224,6.8048453,11474,piconol,True,1.0,1.0,0.0,True,1 ring
cyclic-amp,40467852,5.388837,9.246475,40467852,cyclic-amp,True,4.0,2.0,2.0,True,4+ rings
pd-166793,9887870,7.09518,1.8953092,9887870,pd-166793,True,2.0,2.0,0.0,True,2 rings
2-hydroxyethyl-salicylate,6880,10.212174,2.060233,6880,2-hydroxyethyl-salicylate,True,1.0,1.0,0.0,True,1 ring
cordycepin,6303,5.3906865,9.249524,6303,cordycepin,True,3.0,2.0,1.0,True,3 rings
quinolinic-acid,1066,6.941969,6.786271,1066,quinolinic-acid,True,1.0,1.0,0.0,True,1 ring
sr-95639a,195165,5.925325,7.657771,195165,sr-95639a,True,4.0,2.0,2.0,True,4+ rings
verdinexor,71492799,6.2197213,8.131242,71492799,verdinexor,True,3.0,3.0,0.0,True,3 rings
azd7545,16741245,6.996696,3.3238637,16741245,azd7545,True,2.0,2.0,0.0,True,2 rings
agi-6780,71299339,6.6383424,3.2595756,71299339,agi-6780,True,4.0,3.0,1.0,True,4+ rings
linagliptin,10096344,6.5493107,8.15968,10096344,linagliptin,True,5.0,4.0,1.0,True,4+ rings
catharanthine,5458190,6.8724303,6.1936975,5458190,catharanthine,True,6.0,2.0,4.0,True,4+ rings
retinyl-palmitate,5280531,-2.4993856,6.010317,5280531,retinyl-palmitate,True,1.0,0.0,1.0,True,1 ring
piceatannol,667639,9.64635,1.6166778,667639,piceatannol,True,2.0,2.0,0.0,True,2 rings
firategrast,9935681,9.605776,3.0630517,9935681,firategrast,True,3.0,3.0,0.0,True,3 rings
nifenazone,4487,6.4612083,6.885907,4487,nifenazone,True,3.0,3.0,0.0,True,3 rings
gw-0742,9934458,7.7547774,7.051486,9934458,gw-0742,True,3.0,3.0,0.0,True,3 rings
cgp-25454a,9819591,9.455609,3.1031332,9819591,cgp-25454a,True,1.0,1.0,0.0,True,1 ring
vinblastine,13342,8.185717,6.2208858,13342,vinblastine,True,9.0,3.0,6.0,True,4+ rings
danirixin,24780598,8.746939,3.258489,24780598,danirixin,True,3.0,2.0,1.0,True,3 rings
larotrectinib,46188928,6.0906234,8.285421,46188928,larotrectinib,True,5.0,3.0,2.0,True,4+ rings
bc-11,60126757,6.678976,1.8994029,60126757,bc-11,True,1.0,1.0,0.0,True,1 ring
triciribine,65399,5.4489403,9.274392,65399,triciribine,True,4.0,2.0,2.0,True,4+ rings
eliglustat,23652731,9.721104,2.7090974,23652731,eliglustat,True,3.0,1.0,2.0,True,3 rings
gemcitabine,60750,-2.579425,8.059062,60750,gemcitabine,True,2.0,1.0,1.0,True,2 rings
acexamic-acid,2005,-1.709553,6.913977,2005,acexamic-acid,True,0.0,0.0,0.0,False,0 rings
guanaben-acetate,5702063,6.614786,2.0814228,5702063,guanaben-acetate,True,1.0,1.0,0.0,True,1 ring
bd-1008,126388,6.623332,2.1846411,126388,bd-1008,True,2.0,1.0,1.0,True,2 rings
